uniprot,predictive,VIP
A0A024R2K1,-1.6097,0.48868
A0A024R2L0,0.1853,0.29744
A0A024R2L1,-1.8654,0.79304
A0A024R2M7,-0.2788,0.010573
A0A024R2M8,-4.6695,1.8474
A0A024R2N6,1.7734,0.88575
A0A024R2P4,-1.0752,0.20459
A0A024R2Q4,0.6543,0.010438
A0A024R2Q8,3.1443,1.3272
A0A024R2Q9,3.7842,1.628
A0A024R2S0,2.7353,0.82113
A0A024R2T0,-1.6149,0.8673
A0A024R2T2,-1.822,0.57446
A0A024R2T5,5.3182,2.1362
A0A024R2T6,3.7843,1.5476
A0A024R2U1,1.0485,0.60343
A0A024R2V2,-0.11803,0.058699
A0A024R2W3,1.2678,0.51094
A0A024R2W4,-2.572,0.90373
A0A024R2W7,-0.9592,0.47627
A0A024R2Y6,0.12138,0.23793
A0A024R301,0.72762,0.70435
A0A024R319,0.20322,0.18464
A0A024R320,-1.8354,0.75472
A0A024R323,2.4495,1.2786
A0A024R324,-2.5293,1.3635
A0A024R329,-0.70571,0.50191
A0A024R333,-0.40949,0.25276
A0A024R338,-1.6079,0.52746
A0A024R355,-1.2605,0.26654
A0A024R370,3.9281,1.631
A0A024R371,-1.5469,0.85329
A0A024R374,1.1514,0.40193
A0A024R377,3.0641,1.4829
A0A024R386,2.1231,0.95637
A0A024R394,4.533,1.8507
A0A024R396,-4.0506,1.4971
A0A024R397,4.0596,1.7868
A0A024R3A2,4.4675,2.0027
A0A024R3C2,5.1738,2.0123
A0A024R3D4,-2.8225,0.85863
A0A024R3D8,4.2648,1.9417
A0A024R3E4,-2.9609,1.2496
A0A024R3F4,-5.6223,2.334
A0A024R3G4,0.090215,0.16516
A0A024R3G7,1.0273,0.44282
A0A024R3G9,0.073124,0.22111
A0A024R3I7,-0.51017,0.0067304
A0A024R3K2,2.9194,1.1141
A0A024R3L1,-0.23188,0.3637
A0A024R3L9,-1.7482,0.71002
A0A024R3M1,-4.2456,1.7319
A0A024R3M7,-0.76541,0.3384
A0A024R3R1,-0.29651,0.096551
A0A024R3R5,-0.43653,0.13186
A0A024R3S1,-4.5241,1.7257
A0A024R3T3,0.54144,0.090059
A0A024R3U5,-0.50157,0.29985
A0A024R3U9,-0.46259,0.28728
A0A024R3V6,3.7791,1.7315
A0A024R3V8,-5.4259,2.2757
A0A024R3W2,1.0902,0.54652
A0A024R3W4,-0.4958,0.42234
A0A024R3W7,1.9343,0.58461
A0A024R3X1,0.51473,0.038263
A0A024R3Z1,-2.8788,1.2866
A0A024R3Z5,-0.91411,0.54771
A0A024R411,-0.016962,0.032192
A0A024R415,1.08,0.4849
A0A024R419,5.3385,2.1854
A0A024R438,-0.28766,0.26054
A0A024R451,-0.5809,0.19566
A0A024R462,-1.9292,0.79153
A0A024R472,-1.2122,0.55266
A0A024R473,4.9249,2.0669
A0A024R491,-1.7181,0.53022
A0A024R497,3.8652,1.7037
A0A024R499,-3.6952,1.518
A0A024R4A8,-0.59274,0.19729
A0A024R4B7,-3.7536,1.5469
A0A024R4D3,-1.1009,0.64869
A0A024R4D7,-5.0285,1.8713
A0A024R4E1,-4.1807,1.7413
A0A024R4E3,-3.6407,1.6835
A0A024R4E5,-3.1037,1.1285
A0A024R4H0,6.0422,2.5212
A0A024R4I7,-4.8493,1.9466
A0A024R4K3,3.5071,1.6038
A0A024R4N0,-1.5632,0.77067
A0A024R4Q8,1.8702,0.62428
