ensembl,predictive,VIP
ENSG00000008300,-0.3701,0.092865
ENSG00000008311,0.92125,0.41043
ENSG00000008324,1.1522,0.58648
ENSG00000008382,-0.6093,0.26021
ENSG00000008394,1.6821,0.8797
ENSG00000008405,-1.3751,0.78587
ENSG00000008441,-2.3933,1.2454
ENSG00000008513,2.223,1.0522
ENSG00000008517,-1.2756,0.5257
ENSG00000008710,-2.274,1.1778
ENSG00000008735,-2.0961,0.98926
ENSG00000008838,-0.74865,0.43101
ENSG00000008853,2.3917,1.2368
ENSG00000008869,-0.91855,0.57212
ENSG00000008952,1.366,0.8834
ENSG00000008988,-1.5564,0.69838
ENSG00000009307,-1.2435,0.66408
ENSG00000009335,-0.070529,0.11415
ENSG00000009413,-0.0095554,0.052049
ENSG00000009780,0.35176,0.23548
ENSG00000009830,1.7058,1.0365
ENSG00000009844,1.3185,0.70016
ENSG00000009950,0.24221,0.28075
ENSG00000009954,-1.6798,0.90614
ENSG00000010017,1.3689,0.77664
ENSG00000010030,0.051871,0.12038
ENSG00000010072,-0.86607,0.43399
ENSG00000010165,0.96052,0.47704
ENSG00000010219,0.20774,0.19128
ENSG00000010244,1.2004,0.716
ENSG00000010256,-0.031123,0.029883
ENSG00000010270,0.55341,0.31046
ENSG00000010278,-2.798,1.5605
ENSG00000010292,1.2982,0.75391
ENSG00000010295,-2.1074,1.024
ENSG00000010310,-2.2044,1.1039
ENSG00000010318,0.6545,0.47514
ENSG00000010322,-3.231,1.72
ENSG00000010361,-0.13658,0.0080673
ENSG00000010404,-0.67721,0.32812
ENSG00000010438,-0.51938,0.2973
ENSG00000010539,1.3204,0.69204
ENSG00000010626,2.7547,1.5044
ENSG00000010704,3.0133,1.6517
ENSG00000010803,-2.7371,1.4576
ENSG00000010810,2.6644,1.4606
ENSG00000010818,0.25922,0.14256
ENSG00000011007,1.304,0.58339
ENSG00000011009,-2.6109,1.4668
ENSG00000011021,2.0629,1.1369
ENSG00000011028,0.84166,0.47205
ENSG00000011105,2.6257,1.4253
ENSG00000011114,-1.8526,1.0781
ENSG00000011132,0.36277,0.23181
ENSG00000011143,0.64545,0.42648
ENSG00000011198,-2.6379,1.4727
ENSG00000011201,-1.4248,0.78855
ENSG00000011243,-1.2125,0.48231
ENSG00000011258,-0.68019,0.28236
ENSG00000011260,3.3753,1.7409
ENSG00000011275,-3.4971,1.8659
ENSG00000011295,0.15358,0.0028021
ENSG00000011304,-0.54343,0.41845
ENSG00000011332,0.39437,0.095048
ENSG00000011347,0.75166,0.47856
ENSG00000011376,-0.61996,0.38865
ENSG00000011405,-0.40513,0.24967
ENSG00000011422,3.6293,1.875
ENSG00000011426,-1.3339,0.70147
ENSG00000011451,-3.0089,1.649
ENSG00000011454,-1.5697,0.69445
ENSG00000011465,3.247,1.7833
ENSG00000011478,3.0536,1.6097
ENSG00000011485,1.401,0.67211
ENSG00000011523,-3.1384,1.6829
ENSG00000011566,-0.46313,0.24542
ENSG00000011638,3.2399,1.7592
ENSG00000012048,2.8987,1.5503
ENSG00000012061,0.2558,0.035165
ENSG00000012171,-2.015,1.0334
ENSG00000012174,2.5076,1.2885
ENSG00000012211,0.16128,0.10203
ENSG00000012232,-3.0063,1.6224
ENSG00000012660,0.48608,0.24804
ENSG00000012779,-1.1611,0.6052
ENSG00000012817,-2.0401,1.127
ENSG00000012822,-2.8764,1.4356
ENSG00000012963,0.49906,0.17024
ENSG00000012983,-1.6846,0.94241
ENSG00000013016,2.9866,1.6166
ENSG00000013275,3.0811,1.6737
ENSG00000013288,2.8933,1.552
ENSG00000013293,0.71265,0.3334
ENSG00000013297,0.55261,0.25916
ENSG00000013306,-0.67375,0.43463
ENSG00000013364,-3.1635,1.6802
ENSG00000013374,0.54558,0.36467
ENSG00000013375,2.6372,1.3994
ENSG00000013392,1.4821,0.90023
ENSG00000013441,-1.5559,0.88143
ENSG00000013503,2.3299,1.2065
ENSG00000013523,2.6696,1.3598
ENSG00000013561,-0.86639,0.55977
ENSG00000013563,-0.45209,0.25289
ENSG00000013573,-1.8094,1.0185
ENSG00000013583,1.6932,0.83925
ENSG00000013588,-2.068,1.1931
ENSG00000013619,-0.19322,0.18744
ENSG00000013810,-0.92742,0.4538
ENSG00000014123,1.0066,0.54073
ENSG00000014138,-1.5545,0.79883
ENSG00000014164,-0.10801,0.050514
ENSG00000014216,-2.9404,1.5834
ENSG00000014641,0.94909,0.57402
ENSG00000014824,-0.48923,0.24065
ENSG00000014914,-1.0222,0.41532
ENSG00000014919,-0.24624,0.05662
ENSG00000015133,2.9049,1.524
ENSG00000015153,-0.59053,0.25963
ENSG00000015171,0.0046599,0.073143
ENSG00000015475,2.4364,1.4077
ENSG00000015479,0.86497,0.34177
ENSG00000015532,3.2391,1.7385
ENSG00000015676,-3.4118,1.8597
ENSG00000016082,-0.48371,0.38251
ENSG00000016391,-2.0971,1.1112
ENSG00000016402,2.1416,1.2664
ENSG00000016864,1.8605,1.0289
ENSG00000017260,1.8616,1.0038
ENSG00000017483,1.0177,0.60858
ENSG00000017797,-3.6617,1.948
ENSG00000018189,-3.2155,1.6774
ENSG00000018236,-2.6567,1.4437
ENSG00000018408,-2.7289,1.5554
ENSG00000018510,-1.6701,0.95116
ENSG00000018610,0.90667,0.5784
ENSG00000018699,-1.6065,0.92004
ENSG00000018869,-2.6685,1.3849
ENSG00000019144,-3.5786,1.9344
ENSG00000019186,-0.99674,0.58656
ENSG00000019485,-2.3907,1.317
ENSG00000019505,-2.8548,1.5286
ENSG00000019549,3.1217,1.6865
ENSG00000019582,1.5753,0.92951
ENSG00000019995,-2.7826,1.5484
ENSG00000020129,0.45765,0.11726
ENSG00000020181,-2.5223,1.2864
ENSG00000020256,0.62601,0.25262
ENSG00000020426,-2.181,1.1603
ENSG00000020577,-2.4785,1.4249
ENSG00000020633,0.42585,0.24746
ENSG00000020922,-1.3224,0.73157
ENSG00000021300,-3.1502,1.5825
ENSG00000021355,-0.0077546,0.07903
ENSG00000021574,0.044436,0.1219
ENSG00000021645,-2.0503,1.1434
ENSG00000021762,-1.4795,0.7274
ENSG00000021776,0.87619,0.45833
ENSG00000021826,-3.573,1.8681
ENSG00000022267,-2.7868,1.5261
ENSG00000022277,1.5808,0.84466
ENSG00000022567,-0.66757,0.35558
ENSG00000022840,-2.5759,1.2799
ENSG00000022976,-2.597,1.3348
ENSG00000023041,0.28817,0.095361
ENSG00000023171,2.916,1.4729
ENSG00000023191,-0.78237,0.49101
ENSG00000023228,1.3155,0.65332
ENSG00000023287,0.19994,0.16747
ENSG00000023318,3.2859,1.7769
ENSG00000023330,2.8923,1.5317
ENSG00000023445,2.6395,1.5574
ENSG00000023516,1.8224,0.94415
ENSG00000023572,3.1603,1.7259
ENSG00000023608,3.1886,1.6205
ENSG00000023697,-2.5851,1.4295
ENSG00000023734,0.29445,0.097155
ENSG00000023892,-1.9673,1.1796
ENSG00000023902,0.46213,0.17395
ENSG00000023909,3.7947,2.0078
ENSG00000024048,-0.1003,0.0083694
ENSG00000024422,-3.4226,1.8943
ENSG00000024526,1.6644,0.94757
ENSG00000024862,1.0007,0.66144
ENSG00000025039,3.5659,1.888
ENSG00000025156,1.0597,0.45109
ENSG00000025293,0.91893,0.43456
ENSG00000025423,-0.23868,0.19427
ENSG00000025434,-0.41698,0.064237
ENSG00000025708,2.5228,1.4057
ENSG00000025770,-1.7576,0.9522
ENSG00000025772,-1.053,0.62092
ENSG00000025796,0.97752,0.60851
ENSG00000025800,-3.417,1.8165
ENSG00000026025,-2.3211,1.2893
ENSG00000026036,2.8927,1.3945
ENSG00000026103,1.641,0.85858
ENSG00000026297,1.4237,0.81941
ENSG00000026508,3.6669,1.9541
ENSG00000026559,0.98503,0.48183
ENSG00000026652,3.7556,2.0328
ENSG00000026950,2.123,1.2182
ENSG00000027001,3.5099,1.8278
ENSG00000027075,3.7843,1.9601
ENSG00000027697,2.4447,1.3932
ENSG00000027847,2.0826,1.1412
ENSG00000027869,0.3182,0.27096
ENSG00000028116,2.4329,1.3839
ENSG00000028137,3.7007,2.0062
ENSG00000028203,-3.1754,1.7092
ENSG00000028277,3.2638,1.7653
ENSG00000028310,0.26312,0.096355
ENSG00000028528,-1.2943,0.53947
ENSG00000028839,1.7443,0.95072
ENSG00000029153,1.6295,0.80808
ENSG00000029363,1.5812,0.79823
ENSG00000029364,1.1767,0.70898
ENSG00000029534,-1.3178,0.7031
ENSG00000029639,2.7088,1.3564
ENSG00000029725,-0.46187,0.30218
ENSG00000029993,-1.7601,0.80746
ENSG00000030066,0.91871,0.47214
ENSG00000030110,-1.4333,0.8184
ENSG00000030419,1.4413,0.74109
ENSG00000030582,2.0597,1.1529
ENSG00000031003,-2.0272,1.1297
ENSG00000031081,2.9782,1.625
ENSG00000031691,2.5293,1.3449
ENSG00000031698,-3.3777,1.7909
ENSG00000031823,-1.2641,0.60078
ENSG00000032219,-2.5728,1.3965
ENSG00000032389,-1.3667,0.79469
ENSG00000032444,1.1742,0.6246
ENSG00000032742,3.3697,1.7802
ENSG00000033011,0.4792,0.32197
ENSG00000033030,-3.3168,1.6939
ENSG00000033050,-0.31702,0.14766
ENSG00000033100,2.2555,1.1812
ENSG00000033122,-1.1215,0.71855
ENSG00000033170,2.702,1.5428
ENSG00000033178,1.6635,0.85768
ENSG00000033327,-1.5128,0.91408
ENSG00000033627,-0.075457,0.10934
ENSG00000033800,0.76903,0.53679
ENSG00000033867,-0.51973,0.371
ENSG00000034053,3.1438,1.6734
ENSG00000034152,1.7125,0.82503
ENSG00000034510,-0.91207,0.45098
ENSG00000034533,0.71499,0.32578
ENSG00000034677,-2.082,1.1354
ENSG00000034693,2.6577,1.4121
ENSG00000034713,0.78461,0.40841
ENSG00000035115,-1.762,0.9438
ENSG00000035141,-0.32721,0.23061
ENSG00000035403,-2.1432,1.2401
ENSG00000035499,1.4094,0.84645
ENSG00000035664,1.288,0.78398
ENSG00000035681,3.6776,1.9934
ENSG00000035687,0.1522,0.00037301
ENSG00000035862,0.37521,0.10324
ENSG00000035928,-1.7282,0.92114
ENSG00000036054,-1.3914,0.77842
ENSG00000036257,1.118,0.55239
ENSG00000036448,-0.66335,0.16382
ENSG00000036530,-0.16746,0.012447
ENSG00000036549,0.51454,0.19553
ENSG00000036672,-3.7977,2.0193
ENSG00000037042,-0.24605,0.13789
ENSG00000037241,1.2086,0.55668
ENSG00000037474,-0.47495,0.33997
ENSG00000037637,-0.69707,0.25877
ENSG00000037749,1.1943,0.58817
ENSG00000037757,-1.5134,0.91915
ENSG00000037897,0.83534,0.39879
ENSG00000037965,-1.0954,0.63797
ENSG00000038002,-0.4135,0.23835
ENSG00000038210,0.14014,0.12781
ENSG00000038219,0.98828,0.57677
ENSG00000038274,1.0035,0.62225
ENSG00000038295,-2.0858,1.1819
ENSG00000038358,-2.1793,1.1856
ENSG00000038382,-2.8165,1.5667
ENSG00000038427,-1.5046,0.8699
ENSG00000038532,-3.4777,1.8363
ENSG00000039123,1.4638,0.70814
ENSG00000039139,0.50542,0.43582
ENSG00000039319,1.5693,0.84997
ENSG00000039523,-3.2461,1.7426
ENSG00000039560,-2.1463,1.2324
ENSG00000039650,-1.4346,0.74162
ENSG00000040199,0.36086,0.10622
ENSG00000040275,-2.0384,1.1743
ENSG00000040341,-1.3835,0.73674
ENSG00000040487,-0.1996,0.088765
ENSG00000040531,1.3392,0.80926
ENSG00000040608,-3.1107,1.7305
ENSG00000040633,1.9639,1.0031
ENSG00000040731,-1.4371,0.82882
ENSG00000040933,-0.89208,0.48978
ENSG00000041353,3.7265,1.9907
ENSG00000041357,0.93337,0.66962
ENSG00000041802,2.6305,1.3465
ENSG00000041880,-2.9527,1.5285
ENSG00000041982,3.236,1.7015
ENSG00000041988,0.25477,0.16701
ENSG00000042062,3.553,1.9263
ENSG00000042088,0.5769,0.28002
ENSG00000042286,2.6662,1.4907
ENSG00000042317,0.16724,0.22475
ENSG00000042429,0.25258,0.16801
ENSG00000042445,0.31666,0.18393
ENSG00000042493,0.92069,0.4397
ENSG00000042753,0.07659,0.040032
ENSG00000042832,2.0732,1.0987
ENSG00000042980,3.5681,1.9264
ENSG00000043093,1.5968,0.87969
ENSG00000043143,2.6447,1.4513
ENSG00000043514,2.1388,1.1264
ENSG00000044090,0.028927,0.0035136
ENSG00000044115,-0.74565,0.48799
ENSG00000044446,0.31928,0.05126
ENSG00000044459,0.23225,0.12954
ENSG00000044524,1.207,0.64072
ENSG00000044574,2.3405,1.1623
ENSG00000046604,-2.5239,1.3496
ENSG00000046647,2.1393,1.1942
ENSG00000046651,-2.6771,1.4848
ENSG00000046889,-1.5584,0.81857
ENSG00000047056,-0.88473,0.54005
ENSG00000047188,-0.079859,0.036613
ENSG00000047230,-0.27682,0.15411
ENSG00000047249,2.7464,1.5398
ENSG00000047315,1.0609,0.54029
ENSG00000047346,-1.2923,0.5711
ENSG00000047365,-0.31787,0.20922
ENSG00000047410,0.83548,0.47645
ENSG00000047457,3.4119,1.865
ENSG00000047578,0.99592,0.60368
ENSG00000047579,-0.5722,0.28309
ENSG00000047597,-1.6365,0.90499
ENSG00000047617,-2.0393,1.083
ENSG00000047621,0.23239,0.074109
ENSG00000047634,0.037416,0.16152
ENSG00000047644,0.61542,0.14523
ENSG00000047648,1.0023,0.41686
ENSG00000047849,-3.6256,1.9372
ENSG00000047932,-2.9202,1.6293
ENSG00000047936,0.57137,0.37057
ENSG00000048028,0.54184,0.35374
ENSG00000048052,0.027253,0.0022722
ENSG00000048140,-2.8724,1.5559
ENSG00000048162,-0.64667,0.42637
ENSG00000048342,1.4412,0.73877
ENSG00000048392,-0.50203,0.31129
ENSG00000048405,0.24789,0.10892
ENSG00000048471,1.7615,1.0032
ENSG00000048544,1.9677,0.97261
ENSG00000048649,-2.3788,1.2166
ENSG00000048707,-0.26731,0.16612
ENSG00000048740,-1.3571,0.78367
ENSG00000048828,0.27464,0.027231
ENSG00000048991,-1.057,0.69504
ENSG00000049089,-3.0345,1.5092
ENSG00000049130,-1.4944,0.85269
ENSG00000049167,2.3311,1.2235
ENSG00000049192,-2.7662,1.5791
ENSG00000049239,0.83665,0.48514
ENSG00000049245,-2.5079,1.3298
ENSG00000049246,-0.9579,0.60032
ENSG00000049249,1.3589,0.91359
ENSG00000049283,-2.6806,1.2806
ENSG00000049323,1.7789,0.81276
ENSG00000049449,2.8997,1.6277
ENSG00000049541,0.80177,0.34376
ENSG00000049618,2.0393,1.1112
ENSG00000049656,0.88217,0.365
ENSG00000049759,-1.6265,0.96283
ENSG00000049769,2.3079,1.2616
ENSG00000049860,3.7466,2.0012
ENSG00000049883,0.1925,0.012827
ENSG00000050130,2.9449,1.5496
ENSG00000050165,-2.099,1.2013
ENSG00000050327,-3.4941,1.9121
ENSG00000050344,-2.4926,1.253
ENSG00000050393,2.5558,1.2928
ENSG00000050405,-1.5257,0.91224
ENSG00000050426,-0.92807,0.32546
ENSG00000050438,-2.0741,1.1337
ENSG00000050555,-1.0247,0.39703
ENSG00000050730,3.6532,2.0119
ENSG00000050748,-0.28184,0.25289
ENSG00000050820,-1.5394,0.93714
ENSG00000051009,2.4779,1.278
ENSG00000051108,-2.8251,1.4126
ENSG00000051128,-1.1893,0.66102
ENSG00000051341,0.06045,0.02269
ENSG00000051382,0.11827,0.042681
ENSG00000051523,2.6701,1.4606
ENSG00000051596,-0.42484,0.35524
ENSG00000051620,-1.9573,1.0733
ENSG00000051825,1.1097,0.52416
ENSG00000052126,2.5714,1.4755
ENSG00000052723,-1.5066,0.70368
ENSG00000052749,-1.2326,0.75981
ENSG00000052795,1.6782,0.84069
ENSG00000052802,-1.2999,0.57168
ENSG00000052841,1.5662,0.92015
ENSG00000053254,-3.1402,1.7257
ENSG00000053371,0.55853,0.28146
