ensembl,predictive,VIP
ENSG00000000003,0.66069,0.25707
ENSG00000000419,1.7304,0.88097
ENSG00000000457,-0.88936,0.4974
ENSG00000000460,3.0547,1.5894
ENSG00000000971,2.2395,1.1014
ENSG00000001036,2.163,0.9563
ENSG00000001084,1.9515,1.2756
ENSG00000001167,0.75643,0.58286
ENSG00000001460,-0.44187,0.37241
ENSG00000001461,-2.5018,1.346
ENSG00000001497,-2.6312,1.4647
ENSG00000001561,0.38871,0.10562
ENSG00000001617,1.8481,0.84248
ENSG00000001626,3.6132,1.9338
ENSG00000001629,0.38928,0.22919
ENSG00000001631,0.88546,0.72488
ENSG00000002016,1.2535,0.50851
ENSG00000002330,-1.8648,0.97901
ENSG00000002549,1.4087,0.63688
ENSG00000002586,2.419,1.3799
ENSG00000002587,2.4979,1.3608
ENSG00000002746,-1.5156,0.83088
ENSG00000002822,-2.5383,1.4041
ENSG00000002834,-1.3644,0.85303
ENSG00000002919,-0.1772,0.14755
ENSG00000003056,2.2006,1.0361
ENSG00000003096,-1.6625,0.89985
ENSG00000003137,1.7663,1.0031
ENSG00000003147,-3.3136,1.652
ENSG00000003249,-2.2339,1.2336
ENSG00000003393,-0.20973,0.1387
ENSG00000003400,1.4647,0.89338
ENSG00000003402,-2.7157,1.3638
ENSG00000003436,0.95708,0.5598
ENSG00000003509,0.51467,0.25976
ENSG00000003756,-2.1549,1.1133
ENSG00000003987,2.6395,1.3728
ENSG00000003989,2.7823,1.5076
ENSG00000004059,-3.2124,1.7472
ENSG00000004139,-2.9178,1.6268
ENSG00000004142,-1.1313,0.49147
ENSG00000004399,-2.8451,1.5939
ENSG00000004455,-1.8037,1.0664
ENSG00000004468,3.0091,1.6858
ENSG00000004478,1.074,0.41821
ENSG00000004487,-2.2868,1.2389
ENSG00000004534,-1.3665,0.63195
ENSG00000004660,-2.0455,1.2073
ENSG00000004700,3.3939,1.8336
ENSG00000004766,-2.53,1.3144
ENSG00000004776,-0.3615,0.095261
ENSG00000004777,0.12541,0.081898
ENSG00000004779,0.37731,0.25019
ENSG00000004799,2.2001,1.2652
ENSG00000004846,-1.7691,0.88512
ENSG00000004864,1.6568,0.91165
ENSG00000004866,2.6475,1.418
ENSG00000004897,2.4573,1.365
ENSG00000004961,2.9966,1.5871
ENSG00000004975,-1.5733,0.82788
ENSG00000005007,0.47579,0.078342
ENSG00000005020,-0.50184,0.1806
ENSG00000005022,1.9365,0.97829
ENSG00000005059,1.3281,0.61854
ENSG00000005073,2.584,1.3713
ENSG00000005075,-1.6228,0.7954
ENSG00000005100,-1.2057,0.55913
ENSG00000005102,-2.7492,1.5331
ENSG00000005156,0.39634,0.1172
ENSG00000005175,2.498,1.3549
ENSG00000005187,-3.1072,1.5655
ENSG00000005189,1.6604,0.8915
ENSG00000005194,1.563,0.69751
ENSG00000005206,1.0641,0.51094
ENSG00000005238,1.6973,0.84988
ENSG00000005243,0.11327,0.04796
ENSG00000005249,-0.74051,0.36628
ENSG00000005302,1.1107,0.57105
ENSG00000005339,-1.7037,0.81272
ENSG00000005379,1.8108,0.96988
ENSG00000005436,1.1561,0.64778
ENSG00000005448,-1.8879,1.0017
ENSG00000005469,1.507,0.75146
ENSG00000005471,-0.81807,0.38556
ENSG00000005483,-2.3046,1.0682
ENSG00000005486,-2.8852,1.5691
ENSG00000005700,1.8795,1.1139
ENSG00000005801,-0.59933,0.24925
ENSG00000005810,-2.0653,1.0526
ENSG00000005812,-1.8706,0.98994
ENSG00000005882,-1.2886,0.45887
ENSG00000005884,-1.9617,1.182
ENSG00000005889,-0.45644,0.10602
ENSG00000005893,-0.4388,0.393
ENSG00000006007,-2.6749,1.4258
ENSG00000006015,-0.6323,0.27417
ENSG00000006025,-0.18545,0.0099339
ENSG00000006042,-0.051762,0.065801
ENSG00000006062,-2.0539,1.3304
ENSG00000006118,1.8797,0.89414
ENSG00000006125,-0.50259,0.362
ENSG00000006194,-1.6391,0.64901
ENSG00000006210,3.0738,1.6345
ENSG00000006282,-2.1288,1.095
ENSG00000006283,3.3606,1.7969
ENSG00000006327,-2.1602,1.0823
ENSG00000006432,-0.4299,0.2709
ENSG00000006451,-0.42638,0.28143
ENSG00000006453,2.795,1.5058
ENSG00000006459,3.0634,1.7078
ENSG00000006468,2.7888,1.5532
ENSG00000006530,2.9479,1.4299
ENSG00000006534,-3.1364,1.5366
ENSG00000006576,1.8749,0.89415
ENSG00000006606,1.2212,0.63135
ENSG00000006607,-2.0697,1.1659
ENSG00000006625,2.3821,1.1642
ENSG00000006634,2.6968,1.4896
ENSG00000006638,0.67182,0.30308
ENSG00000006652,1.5433,0.83907
ENSG00000006695,-0.62102,0.2037
ENSG00000006704,-3.5468,1.8883
ENSG00000006712,-2.8795,1.6356
ENSG00000006715,-2.6125,1.3025
ENSG00000006740,-1.2019,0.73158
ENSG00000006744,0.032725,0.18153
ENSG00000006747,1.5552,0.84511
ENSG00000006756,-2.0138,1.2269
ENSG00000006757,-2.1806,1.1254
ENSG00000006831,-0.2633,0.33536
ENSG00000007038,1.5796,0.81044
ENSG00000007047,-2.7916,1.5249
ENSG00000007062,0.76678,0.35315
ENSG00000007080,-2.3971,1.2646
ENSG00000007168,0.86746,0.38574
ENSG00000007202,1.0208,0.34456
ENSG00000007255,-3.7267,1.9066
ENSG00000007264,-0.54164,0.25564
ENSG00000007341,-0.96025,0.65416
ENSG00000007372,-3.4236,1.801
ENSG00000007376,0.063487,0.096616
ENSG00000007384,-1.9978,1.1717
ENSG00000007392,-2.2957,1.1496
ENSG00000007516,-1.7726,0.94587
ENSG00000007520,-1.6085,0.88957
ENSG00000007541,-1.7489,0.9788
ENSG00000007545,-2.0851,1.1563
