uniprot,predictive,VIP
A0A024R2Q9,-1.1204,0.53564
A0A024R2S0,-3.1865,1.5692
A0A024R2T0,-3.2116,1.6399
A0A024R2T2,-0.97913,0.60831
A0A024R2T5,2.2547,1.0892
A0A024R2T6,1.2592,0.51109
A0A024R2V2,-1.3477,0.8118
A0A024R2W3,-3.6091,1.8878
A0A024R2W4,1.0296,0.46677
A0A024R2W7,1.9892,0.86306
A0A024R319,0.9798,0.52368
A0A024R320,-2.9357,1.5622
A0A024R323,2.6158,1.3133
A0A024R324,2.1583,1.1475
A0A024R329,1.5527,0.86239
A0A024R333,-1.1885,0.7025
A0A024R355,-1.3969,0.59549
A0A024R370,3.8437,2.0064
A0A024R371,3.1069,1.5837
A0A024R374,3.6042,1.8265
A0A024R386,3.7364,1.9408
A0A024R394,-1.5335,0.78402
A0A024R395,-3.0971,1.6336
A0A024R396,-0.87938,0.58439
A0A024R397,1.4049,0.79265
A0A024R3A2,-1.5094,0.73928
A0A024R3C2,-1.0262,0.47013
A0A024R3D4,-2.043,1.0309
A0A024R3D8,-2.3857,1.2157
A0A024R3E4,-2.5445,1.3691
A0A024R3F4,-2.702,1.4799
A0A024R3G7,-1.7025,0.82859
A0A024R3I7,2.2581,1.2583
A0A024R3K2,1.1915,0.73362
A0A024R3L1,-2.0537,1.0659
A0A024R3L9,1.7536,0.99244
A0A024R3M1,1.4757,0.76776
A0A024R3M7,0.14971,0.021489
A0A024R3N2,-1.2786,0.53243
A0A024R3R1,-0.078099,0.043837
A0A024R3R5,-0.29444,0.17403
A0A024R3S1,-3.3069,1.7593
A0A024R3T3,2.3382,1.2577
A0A024R3U5,1.2753,0.69535
A0A024R3U9,-1.0349,0.65208
A0A024R3V6,0.43927,0.21458
A0A024R3V8,-0.75936,0.39462
A0A024R3W2,-0.68659,0.36075
A0A024R3W4,-2.4677,1.3502
A0A024R3W7,-1.0107,0.54525
A0A024R3X1,3.7181,1.9012
A0A024R3Z1,-1.1571,0.58039
A0A024R3Z5,-3.0168,1.6099
