uniprot,predictive,VIP
A0A024R2W7,-0.81298,0.56032
A0A024R301,-0.044088,0.1748
A0A024R319,-0.059527,0.081995
A0A024R320,0.96299,0.33138
A0A024R324,2.1831,1.1483
A0A024R329,1.1499,0.6092
A0A024R333,-2.2077,1.1968
A0A024R355,1.6176,0.94129
A0A024R370,2.573,1.4512
A0A024R371,-2.0043,1.0891
A0A024R374,0.08295,0.28378
A0A024R386,2.8312,1.6081
A0A024R394,1.1704,0.53905
A0A024R395,0.7788,0.60279
A0A024R396,1.7797,0.93841
A0A024R397,0.39962,0.305
A0A024R3A2,1.8478,0.95373
A0A024R3D4,-2.946,1.719
A0A024R3D8,-1.8753,1.1022
A0A024R3E4,-0.83008,0.54493
A0A024R3F4,-2.5083,1.4731
A0A024R3G7,0.00096744,0.099452
A0A024R3K2,0.013,0.032203
A0A024R3L1,-1.2004,0.69529
A0A024R3L9,-1.6004,0.91072
A0A024R3M1,-2.7708,1.4474
A0A024R3N2,-0.67176,0.34303
A0A024R3R1,0.8874,0.53735
A0A024R3R5,-0.11455,0.038891
A0A024R3S1,-0.20934,0.19364
A0A024R3T3,1.4208,0.81064
A0A024R3U5,-0.030852,0.25369
A0A024R3U9,0.41703,0.050622
A0A024R3V6,-0.96575,0.57648
A0A024R3V8,-2.5899,1.3935
A0A024R3W2,-1.6561,1.0123
A0A024R3W4,2.3599,1.2679
A0A024R3W7,2.3249,1.2669
A0A024R3X1,2.4705,1.3785
A0A024R3Z1,-0.51726,0.35998
A0A024R3Z5,-2.1907,1.2564
A0A024R3Z7,-2.0863,1.1571
A0A024R411,1.136,0.632
A0A024R412,-0.22581,0.039532
A0A024R415,-0.5857,0.44701
A0A024R419,1.6175,0.69976
A0A024R438,-0.58469,0.36038
A0A024R451,-0.3636,0.14895
A0A024R462,1.0303,0.52279
A0A024R466,0.91766,0.5551
A0A024R472,2.0438,1.1887
A0A024R473,-0.95145,0.57303
A0A024R491,-1.7159,1.1
A0A024R493,-0.54799,0.37446
A0A024R497,0.6834,0.35869
A0A024R4B7,-3.0259,1.8592
A0A024R4C5,-3.0949,1.7074
A0A024R4D7,-0.33731,0.26847
A0A024R4E1,-0.31485,0.19928
A0A024R4E5,-1.2897,0.84294
A0A024R4E9,2.0882,1.1732
A0A024R4H0,2.7536,1.4217
A0A024R4I7,3.1538,1.8585
A0A024R4K3,-2.0231,1.1854
A0A024R4Q8,-1.9206,1.1648
A0A024R4R3,-2.0483,1.1657
A0A024R4R9,-0.9118,0.4228
A0A024R4T0,1.5608,1.0033
A0A024R4U3,-1.242,0.58169
A0A024R4Y2,1.5418,0.98893
A0A024R4Z1,1.9892,1.1359
A0A024R4Z9,1.9946,0.98151
A0A024R509,0.59369,0.32306
A0A024R529,-2.806,1.597
A0A024R567,-0.253,0.24923
A0A024R571,2.5898,1.5033
A0A024R577,-1.3067,0.77861
A0A024R582,0.9853,0.63747
A0A024R588,-0.24719,0.082121
A0A024R593,1.795,1.1105
A0A024R598,2.5212,1.4477
A0A024R5B2,-1.3681,0.89877
A0A024R5C5,1.3151,0.80941
A0A024R5C6,0.76891,0.45984
A0A024R5D2,0.85353,0.4394
A0A024R5F7,-1.0103,0.62055
A0A024R5F9,0.20787,0.10298
A0A024R5H0,0.37419,0.25804
A0A024R5H6,-0.80696,0.50632
A0A024R5I7,1.709,1.0253
A0A024R5J5,-1.165,0.68813
A0A024R5J6,0.9417,0.60842
A0A024R5J8,3.2594,1.7748
A0A024R5L0,0.25269,0.098157
A0A024R5Q1,1.3506,0.73905
A0A024R5Q8,1.0648,0.62158
A0A024R5R0,-0.30263,0.063804
A0A024R5S9,-1.2745,0.75588
A0A024R5U4,2.702,1.6302
A0A024R5U5,-1.978,0.97315
A0A024R5U8,-1.3012,0.66345
A0A024R5V1,-1.7781,0.93833
A0A024R5W0,2.231,1.1137
A0A024R5X3,0.12424,0.18999
A0A024R5X7,1.0939,0.60774
A0A024R5Y1,1.2149,0.75477
A0A024R5Z5,1.548,1.0461
A0A024R5Z7,-1.9912,1.1432
A0A024R5Z8,-0.39778,0.25789
A0A024R608,-1.1886,0.59728
A0A024R611,-0.56856,0.26379
A0A024R625,-1.2188,0.61397
A0A024R648,-2.2458,1.3067
A0A024R652,-0.065848,0.093081
A0A024R658,1.722,1.009
A0A024R667,-1.4909,0.84861
A0A024R683,1.6721,0.84702
A0A024R687,1.6277,0.8605
A0A024R688,0.55538,0.32167
A0A024R6A3,1.4419,0.90451
A0A024R6A5,-0.31882,0.095145
A0A024R6B7,-2.0308,1.0703
A0A024R6D1,-2.6336,1.374
A0A024R6D3,0.78432,0.50912
A0A024R6D4,-0.36971,0.10738
A0A024R6D8,-1.8785,1.1203
A0A024R6E8,-1.5531,0.8775
A0A024R6F4,-1.8235,0.98075
A0A024R6G6,-2.4156,1.3093
A0A024R6H0,0.48901,0.40792
A0A024R6H1,-3.0618,1.8216
A0A024R6H3,-1.7675,0.966
A0A024R6K1,0.13197,0.12511
A0A024R6K3,-1.3363,0.80548
A0A024R6K5,0.26768,0.066336
A0A024R6L5,-2.4945,1.4557
A0A024R6N1,1.9606,1.2472
A0A024R6N2,-0.55429,0.20736
A0A024R6Q2,-0.13257,0.11182
A0A024R6R2,2.3487,1.265
A0A024R6S1,2.331,1.2819
A0A024R6S6,0.30275,0.12813
A0A024R6U0,-1.2712,0.73637
A0A024R6U3,-1.1363,0.63726
A0A024R6U4,-0.47943,0.48508
A0A024R6U7,-2.8583,1.6643
A0A024R6U9,2.3192,1.2746
A0A024R6W0,-2.3178,1.2978
A0A024R6W2,-0.1073,0.025858
A0A024R6X1,-0.58609,0.42632
A0A024R6Y3,1.2659,0.76278
A0A024R6Z0,2.1824,1.1532
A0A024R713,-2.2708,1.2902
A0A024R718,2.7902,1.5934
A0A024R726,1.0547,0.48244
A0A024R745,-2.5749,1.4766
A0A024R755,2.5566,1.4508
A0A024R757,-2.7367,1.6151
A0A024R781,-1.0456,0.60039
A0A024R782,1.7111,0.9943
A0A024R7B7,2.5194,1.2858
A0A024R7C5,-1.8158,1.0278
A0A024R7D0,1.3389,0.76008
A0A024R7D2,1.2243,0.77324
A0A024R7E0,-0.34953,0.14485
A0A024R7E3,2.2025,1.2302
A0A024R7F9,0.8342,0.44782
A0A024R7I0,-0.68345,0.38037
A0A024R7I3,0.21313,0.20278
A0A024R7I4,0.05335,0.13045
A0A024R7I5,-1.6929,0.77266
A0A024R7J0,-1.2169,0.65299
A0A024R7K9,-1.1537,0.51421
A0A024R7L2,-3.055,1.8296
A0A024R7M0,1.7392,1.0696
A0A024R7M1,0.17356,0.27069
A0A024R7M6,0.93397,0.57203
A0A024R7N6,-1.4564,0.7937
A0A024R7N7,-1.8152,0.94525
A0A024R7R0,-1.0005,0.49324
A0A024R7S3,1.1472,0.64756
A0A024R7T3,-0.073132,0.089202
A0A024R7U6,1.8833,1.1139
A0A024R7X0,1.6551,0.85192
A0A024R7X1,-2.347,1.3914
A0A024R7X7,-1.9783,1.2858
A0A024R806,1.8828,1.037
A0A024R814,-0.82467,0.54944
A0A024R816,3.3222,1.7672
A0A024R823,0.21209,0.0097708
A0A024R829,2.1235,1.1108
A0A024R837,-1.3213,0.81621
A0A024R845,2.5589,1.473
A0A024R850,-1.3254,0.56828
A0A024R857,-0.27435,0.16317
A0A024R869,-0.19414,0.11565
A0A024R870,-0.41097,0.22989
A0A024R877,2.3822,1.3165
A0A024R880,-0.51604,0.24833
A0A024R892,2.9655,1.6915
A0A024R899,0.51006,0.15106
A0A024R8A0,-0.79537,0.3891
A0A024R8A2,1.3267,0.98292
A0A024R8A7,1.6094,0.91763
A0A024R8A9,-2.0148,1.29
A0A024R8B0,-1.04,0.71006
A0A024R8B2,-0.83347,0.47611
A0A024R8B6,-0.54581,0.21684
A0A024R8C1,-1.5807,0.99691
A0A024R8C7,-0.98516,0.51165
A0A024R8D2,0.58125,0.22757
A0A024R8D4,-3.3221,1.8205
A0A024R8D5,1.3217,0.84961
A0A024R8E4,1.8626,1.0808
A0A024R8G6,-1.1027,0.49466
A0A024R8J2,2.4493,1.3256
A0A024R8K8,0.49482,0.24025
A0A024R8L5,3.0086,1.5844
A0A024R8L7,3.4425,1.8921
A0A024R8N2,-3.6192,2.0533
A0A024R8N6,2.3956,1.367
A0A024R8P8,-1.3186,0.79777
A0A024R8Q1,-0.36112,0.2488
A0A024R8R4,3.0265,1.6832
A0A024R8R6,2.8723,1.5421
A0A024R8S5,3.1434,1.7883
A0A024R8T9,-1.2209,0.7625
A0A024R8U1,1.4751,0.92815
A0A024R8U4,0.19993,0.01236
A0A024R8U5,-1.3242,0.67499
A0A024R8V0,-2.3903,1.3143
A0A024R8V5,1.7287,0.99615
A0A024R8V6,-0.63431,0.36871
A0A024R8W0,-0.75657,0.38735
A0A024R8W9,-0.91018,0.61781
A0A024R8Y1,-0.5775,0.46231
A0A024R8Y2,-0.47781,0.19091
A0A024R8Z9,-1.9505,1.1997
A0A024R904,1.5825,0.76644
A0A024R912,2.04,1.0778
A0A024R915,-1.0233,0.526
A0A024R943,2.0858,1.1218
A0A024R957,-0.78303,0.51748
A0A024R978,2.5526,1.4222
A0A024R980,-1.7198,1.0012
A0A024R994,2.7917,1.5343
A0A024R9A4,1.2005,0.71192
A0A024R9B0,-0.70114,0.37588
A0A024R9B5,0.78618,0.47806
A0A024R9B8,-2.2113,1.2255
A0A024R9D7,-1.7945,1.0773
A0A024R9D8,1.4242,0.7321
A0A024R9D9,-0.047397,0.098878
A0A024R9E4,-1.9751,1.1445
A0A024R9G4,-0.82309,0.47312
A0A024R9H2,2.5242,1.4113
A0A024R9I0,2.5515,1.43
A0A024R9J0,0.27779,0.22511
A0A024R9K4,-2.272,1.3227
A0A024R9K7,-0.57173,0.3499
A0A024R9L1,0.59991,0.39165
A0A024R9M9,2.5296,1.3844
A0A024R9N6,-2.3736,1.3723
A0A024R9P0,-0.65262,0.43074
A0A024R9R7,-1.0716,0.44893
A0A024R9T3,-2.3763,1.3724
A0A024R9T6,-1.3368,0.91952
A0A024R9V7,2.835,1.5559
A0A024R9W0,0.2159,0.17693
A0A024R9W8,-2.2552,1.1949
A0A024R9Y3,2.709,1.4808
A0A024R9Y5,-0.9394,0.60944
A0A024R9Y6,0.42545,0.22695
A0A024R9Y7,-1.0859,0.72601
A0A024R9Z8,2.5092,1.3322
A0A024RA36,-2.213,1.3336
A0A024RA40,1.9564,1.1787
A0A024RA52,-0.88287,0.36111
A0A024RA53,1.4128,0.69595
A0A024RA58,-0.33116,0.12475
A0A024RA66,-0.65118,0.28148
A0A024RA75,-1.4312,0.82077
A0A024RA89,3.2044,1.9101
A0A024RA95,-0.36216,0.322
A0A024RAB6,-0.66713,0.54374
A0A024RAC0,0.89741,0.55321
A0A024RAC5,1.4482,0.82447
A0A024RAC9,0.17072,0.017216
A0A024RAD5,2.9401,1.4782
A0A024RAD7,0.10735,0.0024582
A0A024RAD8,-2.1527,1.2525
A0A024RAE1,0.22462,0.15969
A0A024RAF0,-2.3491,1.381
A0A024RAF7,3.1969,1.7476
A0A024RAH0,-2.3831,1.2869
A0A024RAH8,-2.1302,1.1574
A0A024RAI1,-0.63953,0.50882
A0A024RAJ4,1.8604,1.0075
A0A024RAJ9,3.5249,2.0153
A0A024RAL9,-1.1924,0.82745
A0A024RAM0,1.6327,0.91884
A0A024RAM2,3.2548,1.7741
A0A024RAM4,0.23986,0.037188
A0A024RAP2,-0.75471,0.57205
A0A024RAP4,0.31552,0.23845
A0A024RAQ3,2.5873,1.4746
A0A024RAV0,1.1921,0.69222
A0A024RAV5,1.9383,1.006
A0A024RAW6,-0.24757,0.24327
A0A024RB01,3.3923,1.8613
A0A024RB05,0.038373,0.12015
A0A024RB12,0.10173,0.0054442
A0A024RB23,-1.6253,1.0078
A0A024RB32,0.48817,0.35438
A0A024RB33,1.2785,0.62962
A0A024RB53,1.1016,0.69018
A0A024RB87,-0.83327,0.44051
A0A024RB89,0.83107,0.43693
A0A024RBA9,3.3605,1.8836
A0A024RBB5,-1.0301,0.59703
A0A024RBB7,-1.3923,0.86796
A0A024RBD0,2.8876,1.6228
A0A024RBE7,1.5691,0.924
A0A024RBE8,-1.1053,0.70712
A0A024RBG3,-1.5617,0.97006
A0A024RBH2,1.3691,0.72521
A0A024RBI2,-1.4567,0.85056
A0A024RBI7,2.5109,1.4551
A0A024RBJ1,-0.70331,0.27653
A0A024RBL2,-1.3681,0.81393
A0A024RBM3,-0.095921,0.20383
A0A024RBN1,-3.0417,1.7233
A0A024RBQ5,1.7798,0.9926
A0A024RBR2,-1.9335,1.0633
A0A024RBR3,1.2647,0.76628
A0A024RBS2,-1.0151,0.61331
A0A024RBU0,-2.1174,1.1766
A0A024RBU4,2.38,1.3755
A0A024RBV2,-1.284,0.80573
A0A024RBV4,1.9116,0.99447
A0A024RBX8,1.2166,0.6434
A0A024RBY9,-1.6673,0.90676
A0A024RC00,-2.9521,1.6403
A0A024RC06,-0.12121,0.13224
A0A024RC16,-0.40647,0.23317
A0A024RC19,0.22613,0.15369
A0A024RC24,-2.1324,1.1262
A0A024RC37,1.3799,0.82938
A0A024RC42,2.9611,1.5512
A0A024RC47,-0.18032,0.34145
A0A024RC48,-1.8309,1.1555
A0A024RC67,1.5263,0.92163
A0A024RC68,-1.92,1.0572
A0A024RC97,-0.77967,0.61152
A0A024RCA1,-0.35057,0.044249
A0A024RCB2,0.051894,0.025643
A0A024RCB7,-1.929,1.1421
A0A024RCB9,0.22643,0.11253
A0A024RCF8,0.55221,0.34167
A0A024RCG2,0.39221,0.38958
A0A024RCI6,1.9979,1.1667
A0A024RCJ0,-0.96644,0.48976
A0A024RCJ8,2.4428,1.3767
A0A024RCK7,-0.29041,0.090979
A0A024RCN4,-1.6541,0.71528
A0A024RCR2,-1.1998,0.55258
A0A024RCX4,1.1364,0.58288
A0A024RCX5,2.89,1.6217
A0A024RCX7,0.74334,0.39068
A0A024RCY0,1.7454,0.81281
A0A024RCY7,-1.5093,0.89207
A0A024RCY9,-1.4839,0.80677
A0A024RCZ8,-2.7486,1.5368
A0A024RD03,-2.715,1.5898
A0A024RD07,-1.2588,0.72214
A0A024RD11,-0.65119,0.30279
A0A024RD12,0.7191,0.26219
A0A024RD18,-1.3768,0.84904
A0A024RD24,-2.9133,1.7059
A0A024RD36,0.22676,0.18977
A0A024RD41,2.6951,1.4739
A0A024RD56,1.9796,1.0419
A0A024RD83,-1.9555,1.116
A0A024RD84,-0.6598,0.37698
A0A024RD93,-0.22093,0.064942
A0A024RDA9,-1.5826,0.90979
A0A024RDD7,0.039869,0.026697
A0A024RDE5,-0.2649,0.21076
A0A024RDE8,1.5644,0.82122
A0A024RDF4,-0.92835,0.41314
A0A024RDF6,0.69122,0.40951
A0A024RDG1,2.5331,1.4207
A0A024RDG6,3.361,1.9577
A0A024RDG8,-1.3865,0.7901
A0A024RDG9,-1.102,0.60573
A0A024RDH3,-2.2454,1.3199
A0A024RDI6,1.117,0.62286
A0A024RDJ3,0.055129,0.0019793
A0A024RDJ4,-0.75967,0.3004
A0A024RDK4,-0.21909,0.064335
A0A024RDK6,2.8177,1.4645
A0A024RDK9,2.5685,1.4193
A0A024RDL9,-0.71498,0.3047
A0A024RDM4,-1.5128,0.84275
A0A024RDQ7,-1.2539,0.63256
A0A024RDQ8,0.50335,0.28201
A0A024RDQ9,2.6901,1.4267
A0A024RDR0,-0.1184,0.030068
A0A024RDS1,0.54024,0.25821
