ensembl,predictive,VIP
ENSG00000000003,-3.1616,1.7076
ENSG00000000419,2.2083,1.1199
ENSG00000000457,0.23786,0.21054
ENSG00000000460,0.89147,0.49586
ENSG00000000971,2.047,0.95881
ENSG00000001036,1.6901,0.73994
ENSG00000001084,2.7617,1.5319
ENSG00000001167,2.4365,1.2966
ENSG00000001460,0.11826,0.046619
ENSG00000001461,-1.5737,0.86688
ENSG00000001497,-2.7039,1.4311
ENSG00000001561,0.082707,0.087181
ENSG00000001617,2.3188,1.1761
ENSG00000001626,-1.253,0.84624
ENSG00000001629,1.609,0.77644
ENSG00000001631,0.49518,0.13882
ENSG00000002016,0.62252,0.32648
ENSG00000002079,2.2964,1.0706
ENSG00000002330,-0.75443,0.38195
ENSG00000002549,3.0434,1.6416
ENSG00000002586,-2.5603,1.381
ENSG00000002587,-1.2626,0.79165
ENSG00000002822,-1.8572,0.98457
ENSG00000002834,-0.44006,0.34359
ENSG00000002919,3.529,1.9133
ENSG00000003056,1.8188,0.86417
ENSG00000003096,-2.1704,1.2133
ENSG00000003137,2.7278,1.3847
ENSG00000003147,-2.7277,1.4498
ENSG00000003249,-2.4809,1.3768
ENSG00000003393,0.24011,0.12789
ENSG00000003400,2.6044,1.2713
ENSG00000003402,0.25568,0.027931
ENSG00000003436,1.335,0.7515
ENSG00000003509,1.7571,1.0023
ENSG00000003756,-0.66261,0.29044
ENSG00000003987,1.1393,0.4514
ENSG00000003989,3.1321,1.7175
ENSG00000004059,-2.8992,1.5826
ENSG00000004139,-0.16201,0.16573
ENSG00000004142,0.75344,0.60497
ENSG00000004399,-1.5177,0.87706
ENSG00000004455,1.2259,0.79091
ENSG00000004468,3.3588,1.8687
ENSG00000004478,3.2985,1.7607
ENSG00000004487,0.59838,0.3032
ENSG00000004534,-0.50821,0.22655
ENSG00000004660,0.60442,0.44766
ENSG00000004700,2.6317,1.4717
ENSG00000004766,0.31612,0.04168
ENSG00000004777,-1.8761,0.97661
ENSG00000004779,1.5732,0.92447
ENSG00000004799,-1.6759,0.9176
ENSG00000004864,0.75831,0.25996
ENSG00000004866,0.13872,0.22534
ENSG00000004897,2.334,1.2581
ENSG00000004961,2.7047,1.4868
ENSG00000004975,-1.0713,0.58577
ENSG00000005007,1.9864,1.0151
ENSG00000005020,-0.92127,0.63279
ENSG00000005022,-0.20113,0.054626
ENSG00000005059,-1.7898,0.84672
ENSG00000005073,1.7768,0.98608
ENSG00000005075,-1.4463,0.7359
ENSG00000005100,0.28467,0.23071
ENSG00000005102,0.013217,0.267
ENSG00000005156,2.4223,1.2604
ENSG00000005175,2.709,1.4157
ENSG00000005187,-3.8068,2.0503
ENSG00000005189,-2.4169,1.3324
ENSG00000005194,1.4576,0.7311
ENSG00000005206,1.3026,0.61747
ENSG00000005238,1.9365,0.99067
ENSG00000005243,0.066304,0.044079
ENSG00000005249,-0.97895,0.34487
ENSG00000005302,2.4968,1.4174
ENSG00000005339,0.62491,0.35181
ENSG00000005379,-3.4232,1.826
ENSG00000005436,1.1746,0.69478
ENSG00000005448,2.8667,1.6031
ENSG00000005469,-0.14671,0.28126
ENSG00000005471,-2.0736,1.2566
ENSG00000005483,-0.70892,0.35001
ENSG00000005486,-0.51014,0.28514
ENSG00000005700,2.035,1.0827
ENSG00000005801,-0.74772,0.57715
ENSG00000005810,1.6258,0.92826
ENSG00000005812,0.53059,0.2307
ENSG00000005882,-3.1754,1.7092
ENSG00000005884,-1.7769,1.0829
ENSG00000005889,1.0037,0.6446
ENSG00000005893,0.38554,0.07426
ENSG00000005961,-1.5133,0.89307
ENSG00000006007,1.5374,0.68833
ENSG00000006015,-0.11462,0.057392
ENSG00000006025,-0.62631,0.36422
ENSG00000006042,-2.6134,1.3797
ENSG00000006062,-2.936,1.6221
ENSG00000006118,3.1334,1.6276
ENSG00000006125,0.3195,0.095742
ENSG00000006194,0.46376,0.053268
ENSG00000006210,-2.5548,1.4935
ENSG00000006282,-2.3778,1.2522
ENSG00000006283,-1.5607,0.87394
ENSG00000006327,-0.51642,0.16764
ENSG00000006432,0.56355,0.21303
ENSG00000006451,0.91592,0.32329
ENSG00000006453,-2.0575,1.2584
ENSG00000006459,2.3623,1.2627
ENSG00000006468,1.5916,0.90613
ENSG00000006530,1.4635,0.65923
