ensembl,predictive,VIP
ENSG00000000003,-3.0084,1.2747
ENSG00000000419,3.2036,1.654
ENSG00000000457,-0.26435,0.084526
ENSG00000000460,-1.0294,0.19804
ENSG00000000938,2.7395,0.88541
ENSG00000000971,0.6618,0.59558
ENSG00000001036,4.3501,2.0741
ENSG00000001084,-0.66213,0.08048
ENSG00000001167,1.3216,0.63614
ENSG00000001460,-0.23734,0.12372
ENSG00000001461,-3.3561,1.5389
ENSG00000001497,3.0048,1.0108
ENSG00000001561,-2.7231,1.2602
ENSG00000001617,3.1824,1.4835
ENSG00000001629,-0.78319,0.14399
ENSG00000001630,1.3038,1.1714
ENSG00000001631,-2.3005,1.129
ENSG00000002016,-2.2769,1.3199
ENSG00000002079,1.22,0.49886
ENSG00000002330,1.9651,0.77159
ENSG00000002549,1.0601,0.69174
ENSG00000002586,-0.54097,0.572
ENSG00000002745,2.2901,1.1502
ENSG00000002822,-0.6566,0.49224
ENSG00000002834,-1.7706,0.9852
ENSG00000002919,-0.78647,0.6426
ENSG00000003056,3.2062,1.5123
ENSG00000003096,-3.5647,1.4063
ENSG00000003137,5.4258,2.7422
ENSG00000003147,-1.9123,0.78502
ENSG00000003249,1.0566,0.44777
ENSG00000003393,-0.61025,0.2549
ENSG00000003400,-0.35814,0.28124
ENSG00000003402,-1.5591,0.58755
ENSG00000003436,-0.45128,0.15419
ENSG00000003509,-0.40585,0.32418
ENSG00000003756,-1.9054,1.1521
ENSG00000003987,2.9934,1.8325
ENSG00000003989,1.6027,0.97934
ENSG00000004059,-1.6444,0.85696
ENSG00000004139,-1.3419,0.8058
ENSG00000004142,2.9663,1.0064
ENSG00000004399,0.45481,0.42384
ENSG00000004455,0.98705,0.3943
ENSG00000004478,4.1162,1.6842
ENSG00000004487,-0.22781,0.040438
ENSG00000004534,-1.0474,0.70987
ENSG00000004660,-3.3974,1.7323
ENSG00000004700,-0.87975,0.17298
ENSG00000004766,-0.95871,0.27125
ENSG00000004776,-1.4771,0.88983
ENSG00000004777,-2.3582,1.251
ENSG00000004779,2.7133,0.98435
ENSG00000004864,2.1951,1.0385
ENSG00000004866,-2.2083,0.90471
ENSG00000004897,-0.39114,0.0085182
ENSG00000004961,2.1437,0.97515
ENSG00000004975,-4.0215,2.1244
ENSG00000005007,-0.32514,0.23341
ENSG00000005020,-2.5555,0.94416
ENSG00000005022,2.4884,1.1516
ENSG00000005059,0.34704,0.37737
ENSG00000005073,2.1488,0.81496
ENSG00000005075,1.787,0.76891
ENSG00000005100,0.38778,0.11199
ENSG00000005156,-2.4582,1.2503
ENSG00000005175,0.64356,0.50349
ENSG00000005189,-0.78267,0.24765
ENSG00000005194,3.5707,1.3926
ENSG00000005206,-0.32421,0.46527
ENSG00000005238,2.5867,0.86872
ENSG00000005243,-1.6044,0.75075
ENSG00000005249,0.93306,0.39791
ENSG00000005302,-1.5357,0.50162
ENSG00000005339,-2.0834,0.73159
ENSG00000005379,-2.9675,1.388
ENSG00000005436,0.57665,0.62959
ENSG00000005448,1.7148,0.84363
ENSG00000005469,-3.7014,1.6329
ENSG00000005483,-0.8104,0.28142
ENSG00000005486,0.92961,0.17875
ENSG00000005700,-0.17153,0.18609
