#ncbi_taxid	child_cluster_id	parent_cluster_id
9606	CL:11440	CL:11438
9606	CL:11460	CL:11437
9606	CL:11475	CL:11436
9606	CL:11478	CL:11475
9606	CL:11499	CL:11115
9606	CL:115	CL:114
9606	CL:11510	CL:11114
9606	CL:11512	CL:11510
9606	CL:11513	CL:11512
9606	CL:11514	CL:11513
9606	CL:11515	CL:11514
9606	CL:11516	CL:11515
9606	CL:11520	CL:11516
9606	CL:11523	CL:11520
9606	CL:11551	CL:11515
9606	CL:11564	CL:11514
9606	CL:11575	CL:11513
9606	CL:11591	CL:11512
9606	CL:116	CL:115
9606	CL:1160	CL:988
9606	CL:11610	CL:11510
9606	CL:11612	CL:11610
9606	CL:11629	CL:11113
9606	CL:11632	CL:11629
9606	CL:11634	CL:11632
9606	CL:11635	CL:11634
9606	CL:11644	CL:11634
9606	CL:11656	CL:11632
9606	CL:11671	CL:11629
9606	CL:11673	CL:11671
9606	CL:11696	CL:11112
9606	CL:117	CL:116
9606	CL:1170	CL:987
9606	CL:11706	CL:11111
9606	CL:11718	CL:11110
9606	CL:11720	CL:11718
9606	CL:11721	CL:11720
9606	CL:11722	CL:11721
9606	CL:11724	CL:11722
9606	CL:11726	CL:11724
9606	CL:11728	CL:11726
9606	CL:1174	CL:1170
9606	CL:11767	CL:11721
9606	CL:11771	CL:11767
9606	CL:11775	CL:11771
9606	CL:118	CL:117
9606	CL:11801	CL:11720
9606	CL:11820	CL:11718
9606	CL:11822	CL:11820
9606	CL:11825	CL:11822
9606	CL:11827	CL:11825
9606	CL:11830	CL:11827
9606	CL:11832	CL:11830
9606	CL:11842	CL:11830
9606	CL:11853	CL:11827
9606	CL:11879	CL:11822
9606	CL:11899	CL:11109
9606	CL:119	CL:118
9606	CL:11901	CL:11899
9606	CL:11921	CL:11108
9606	CL:11936	CL:11107
9606	CL:1194	CL:986
9606	CL:11950	CL:11106
9606	CL:11959	CL:11105
9606	CL:11960	CL:11959
9606	CL:11961	CL:11960
9606	CL:11962	CL:11961
9606	CL:11964	CL:11962
9606	CL:11966	CL:11964
9606	CL:11968	CL:11966
9606	CL:11971	CL:11968
9606	CL:11973	CL:11971
9606	CL:11974	CL:11973
9606	CL:11987	CL:11973
9606	CL:120	CL:119
9606	CL:12002	CL:11971
9606	CL:1203	CL:729
9606	CL:12049	CL:11962
9606	CL:12050	CL:12049
9606	CL:12053	CL:12050
9606	CL:1206	CL:1203
9606	CL:12071	CL:12050
9606	CL:1208	CL:1206
9606	CL:12089	CL:12049
9606	CL:121	CL:120
9606	CL:12111	CL:11961
9606	CL:12113	CL:12111
9606	CL:12135	CL:11960
9606	CL:12153	CL:11959
9606	CL:12162	CL:11104
9606	CL:12163	CL:12162
